model.nb_epoch	feat.last_char	model.activations	model.metrics	global.train_test_split	result.exception	result.feature_count	feat.tag_filter	global.nolog	feat.data_path	model.batch_size	feat.encoding	result.test_sample_count	feat.use_padding	result.test_acc	model.architecture	result.train_sample_count	feat.sample_per_class	result.train_loss	feat.include_smaller_ngrams	model.input_dim	result.success	result.running_time	result.test_loss	model.output_dim	result.train_acc	feat.N	model.loss	model.layers	model.optimizer	global.comment	result.timestamp	feat.max_lines	feat.full_tag	feat.grep_filter	feat.sample_size	result.class_no	feat.tag_limit_in_cluster	feat.shuffled	feat.uniq_lines	model.early_stopping	feat.early_stopping
5.0	6.0	('sigmoid', 'sigmoid', 'sigmoid')	['accuracy']	0.9		3604.0	('NOUN', 'VERB')	False	/mnt/store/hlt/Language/Hungarian/Crawl/Web2/ana/xaa.tagged	1.0	latin2	2000.0	True	0.89	FFNN	18000.0	10000.0	0.3120458733522229	False	3604.0	True	0 days 00:02:13.847630000	0.2974669356197119	2.0	0.8883888888888889	2.0	binary_crossentropy	(40, 40)	rmsprop										False	False	
5.0	6.0	('sigmoid', 'sigmoid', 'sigmoid')	['accuracy']	0.9		3604.0	('NOUN', 'VERB')	False	/mnt/store/hlt/Language/Hungarian/Crawl/Web2/ana/xaa.tagged	2.0	latin2	2000.0	True	0.889	FFNN	18000.0	10000.0	0.26490684409274	False	3604.0	True	0 days 00:01:09.076620	0.29554081583023073	2.0	0.90225	2.0	binary_crossentropy	(40, 40)	rmsprop										False	False	
5.0	6.0	('sigmoid', 'sigmoid', 'sigmoid')	['accuracy']	0.9		3604.0	('NOUN', 'VERB')	False	/mnt/store/hlt/Language/Hungarian/Crawl/Web2/ana/xaa.tagged	1000.0	latin2	2000.0	True	0.88875	FFNN	18000.0	10000.0	0.5198621479140387	False	3604.0	True	0 days 00:00:01.836478	0.5236872966289521	2.0	0.9015	2.0	binary_crossentropy	(40, 40)	rmsprop										False	False	
5.0	6.0	('sigmoid', 'sigmoid', 'sigmoid')	['accuracy']	0.9		3604.0	('NOUN', 'VERB')	False	/mnt/store/hlt/Language/Hungarian/Crawl/Web2/ana/xaa.tagged	2000.0	latin2	2000.0	True	0.8825	FFNN	18000.0	10000.0	0.6351105577150981	False	3604.0	True	0 days 00:00:02.240818	0.638497510433197	2.0	0.8999444444444444	2.0	binary_crossentropy	(40, 40)	rmsprop										False	False	
10.0	6.0	('sigmoid', 'sigmoid', 'sigmoid')	['accuracy']	0.9		3604.0	('NOUN', 'VERB')	False	/mnt/store/hlt/Language/Hungarian/Crawl/Web2/ana/xaa.tagged	1000.0	latin2	2000.0	True	0.92675	FFNN	18000.0	10000.0	0.2595676363905271	False	3604.0	True	0 days 00:00:03.361076	0.2592392427921295	2.0	0.9275555555555556	2.0	binary_crossentropy	(40, 40)	rmsprop										False	False	
10.0	6.0	('sigmoid', 'sigmoid', 'sigmoid')	['accuracy']	0.9		3604.0	('NOUN', 'VERB')	False	/mnt/store/hlt/Language/Hungarian/Crawl/Web2/ana/xaa.tagged	2000.0	latin2	2000.0	True	0.901	FFNN	18000.0	10000.0	0.5126417138576508	False	3604.0	True	0 days 00:00:04.145261	0.5184208669662476	2.0	0.906	2.0	binary_crossentropy	(40, 40)	rmsprop										False	False	
5.0	6.0	('sigmoid', 'sigmoid', 'sigmoid')	['accuracy']	0.9		3604.0	('NOUN', 'VERB')	False	/mnt/store/hlt/Language/Hungarian/Crawl/Web2/ana/xaa.tagged	50.0	latin2	2000.0	True	0.9455	FFNN	18000.0	10000.0	0.13270154536474082	False	3604.0	True	0 days 00:00:04.419828	0.14715182726457715	2.0	0.9516388888888888	2.0	binary_crossentropy	(40, 40)	rmsprop										False	False	
5.0	6.0	('sigmoid', 'sigmoid', 'sigmoid')	['accuracy']	0.9		3604.0	('NOUN', 'VERB')	False	/mnt/store/hlt/Language/Hungarian/Crawl/Web2/ana/xaa.tagged	100.0	latin2	2000.0	True	0.9395	FFNN	18000.0	10000.0	0.13277358095306488	False	3604.0	True	0 days 00:00:03.616237	0.17701544750481846	2.0	0.9534444444444444	2.0	binary_crossentropy	(40, 40)	rmsprop										False	False	
5.0	6.0	('sigmoid', 'sigmoid', 'sigmoid')	['accuracy']	0.9		3604.0	('NOUN', 'VERB')	False	/mnt/store/hlt/Language/Hungarian/Crawl/Web2/ana/xaa.tagged	200.0	latin2	2000.0	True	0.93975	FFNN	18000.0	10000.0	0.15725871259636348	False	3604.0	True	0 days 00:00:02.875230	0.16745684161782265	2.0	0.9454722222222224	2.0	binary_crossentropy	(40, 40)	rmsprop										False	False	
5.0	6.0	('sigmoid', 'sigmoid', 'sigmoid')	['accuracy']	0.9		3604.0	('NOUN', 'VERB')	False	/mnt/store/hlt/Language/Hungarian/Crawl/Web2/ana/xaa.tagged	500.0	latin2	2000.0	True	0.914	FFNN	18000.0	10000.0	0.2867761169142193	False	3604.0	True	0 days 00:00:02.500634	0.2870882340669632	2.0	0.9166388888888888	2.0	binary_crossentropy	(40, 40)	rmsprop										False	False	
5.0	6.0	('sigmoid', 'sigmoid', 'sigmoid')	['accuracy']	0.9		3604.0	('NOUN', 'VERB')	False	/mnt/store/hlt/Language/Hungarian/Crawl/Web2/ana/xaa.tagged	1000.0	latin2	2000.0	True	0.8959999999999999	FFNN	18000.0	10000.0	0.530056803226471	False	3604.0	True	0 days 00:00:02.403950	0.5328367094993591	2.0	0.9019444444444444	2.0	binary_crossentropy	(40, 40)	rmsprop										False	False	
5.0	6.0	('sigmoid', 'sigmoid', 'sigmoid')	['accuracy']	0.9		3604.0	('NOUN', 'VERB')	False	/mnt/store/hlt/Language/Hungarian/Crawl/Web2/ana/xaa.tagged	2000.0	latin2	2000.0	True	0.8895	FFNN	18000.0	10000.0	0.6339122625986735	False	3604.0	True	0 days 00:00:02.837245	0.6355499649047851	2.0	0.9000555555555556	2.0	binary_crossentropy	(40, 40)	rmsprop										False	False	
10.0	6.0	('sigmoid', 'sigmoid', 'sigmoid')	['accuracy']	0.9		3604.0	('NOUN', 'VERB')	False	/mnt/store/hlt/Language/Hungarian/Crawl/Web2/ana/xaa.tagged	50.0	latin2	2000.0	True	0.9440000000000001	FFNN	18000.0	10000.0	0.11880819409423404	False	3604.0	True	0 days 00:00:08.693953	0.16375922057777642	2.0	0.9586944444444444	2.0	binary_crossentropy	(40, 40)	rmsprop										False	False	
10.0	6.0	('sigmoid', 'sigmoid', 'sigmoid')	['accuracy']	0.9		3604.0	('NOUN', 'VERB')	False	/mnt/store/hlt/Language/Hungarian/Crawl/Web2/ana/xaa.tagged	100.0	latin2	2000.0	True	0.958	FFNN	18000.0	10000.0	0.10161696885753838	False	3604.0	True	0 days 00:00:06.938565	0.13190166928060354	2.0	0.96375	2.0	binary_crossentropy	(40, 40)	rmsprop										False	False	
10.0	6.0	('sigmoid', 'sigmoid', 'sigmoid')	['accuracy']	0.9		3604.0	('NOUN', 'VERB')	False	/mnt/store/hlt/Language/Hungarian/Crawl/Web2/ana/xaa.tagged	200.0	latin2	2000.0	True	0.951	FFNN	18000.0	10000.0	0.10011362371635106	False	3604.0	True	0 days 00:00:05.329608	0.14350459353625775	2.0	0.9655277777777778	2.0	binary_crossentropy	(40, 40)	rmsprop										False	False	
10.0	6.0	('sigmoid', 'sigmoid', 'sigmoid')	['accuracy']	0.9		3604.0	('NOUN', 'VERB')	False	/mnt/store/hlt/Language/Hungarian/Crawl/Web2/ana/xaa.tagged	500.0	latin2	2000.0	True	0.9495	FFNN	18000.0	10000.0	0.13125154074695375	False	3604.0	True	0 days 00:00:04.556597	0.1534797991514206	2.0	0.9556388888888888	2.0	binary_crossentropy	(40, 40)	rmsprop										False	False	
10.0	6.0	('sigmoid', 'sigmoid', 'sigmoid')	['accuracy']	0.9		3604.0	('NOUN', 'VERB')	False	/mnt/store/hlt/Language/Hungarian/Crawl/Web2/ana/xaa.tagged	1000.0	latin2	2000.0	True	0.92125	FFNN	18000.0	10000.0	0.2488134757677714	False	3604.0	True	0 days 00:00:04.280876	0.2698611800074577	2.0	0.9291944444444444	2.0	binary_crossentropy	(40, 40)	rmsprop										False	False	
10.0	6.0	('sigmoid', 'sigmoid', 'sigmoid')	['accuracy']	0.9		3604.0	('NOUN', 'VERB')	False	/mnt/store/hlt/Language/Hungarian/Crawl/Web2/ana/xaa.tagged	2000.0	latin2	2000.0	True	0.8955	FFNN	18000.0	10000.0	0.4631184235413869	False	3604.0	True	0 days 00:00:05.238444	0.4771573958396912	2.0	0.9085555555555556	2.0	binary_crossentropy	(40, 40)	rmsprop										False	False	
20.0	6.0	('sigmoid', 'sigmoid', 'sigmoid')	['accuracy']	0.9		3604.0	('NOUN', 'VERB')	False	/mnt/store/hlt/Language/Hungarian/Crawl/Web2/ana/xaa.tagged	50.0	latin2	2000.0	True	0.95725	FFNN	18000.0	10000.0	0.10680185670198666	False	3604.0	True	0 days 00:00:16.572157	0.128526614703238	2.0	0.9636111111111112	2.0	binary_crossentropy	(40, 40)	rmsprop										False	False	
20.0	6.0	('sigmoid', 'sigmoid', 'sigmoid')	['accuracy']	0.9		3604.0	('NOUN', 'VERB')	False	/mnt/store/hlt/Language/Hungarian/Crawl/Web2/ana/xaa.tagged	100.0	latin2	2000.0	True	0.9595	FFNN	18000.0	10000.0	0.08891406729217205	False	3604.0	True	0 days 00:00:12.900160	0.12480140818655493	2.0	0.9693888888888887	2.0	binary_crossentropy	(40, 40)	rmsprop										False	False	
20.0	6.0	('sigmoid', 'sigmoid', 'sigmoid')	['accuracy']	0.9		3604.0	('NOUN', 'VERB')	False	/mnt/store/hlt/Language/Hungarian/Crawl/Web2/ana/xaa.tagged	200.0	latin2	2000.0	True	0.955	FFNN	18000.0	10000.0	0.07748642497075099	False	3604.0	True	0 days 00:00:09.830353	0.14103974975459274	2.0	0.9741944444444444	2.0	binary_crossentropy	(40, 40)	rmsprop										False	False	
20.0	6.0	('sigmoid', 'sigmoid', 'sigmoid')	['accuracy']	0.9		3604.0	('NOUN', 'VERB')	False	/mnt/store/hlt/Language/Hungarian/Crawl/Web2/ana/xaa.tagged	500.0	latin2	2000.0	True	0.9545	FFNN	18000.0	10000.0	0.08041465872195032	False	3604.0	True	0 days 00:00:08.184831	0.12649941870756448	2.0	0.9726388888888888	2.0	binary_crossentropy	(40, 40)	rmsprop										False	False	
20.0	6.0	('sigmoid', 'sigmoid', 'sigmoid')	['accuracy']	0.9		3604.0	('NOUN', 'VERB')	False	/mnt/store/hlt/Language/Hungarian/Crawl/Web2/ana/xaa.tagged	1000.0	latin2	2000.0	True	0.953	FFNN	18000.0	10000.0	0.1063523649573326	False	3604.0	True	0 days 00:00:07.742602	0.1362314074486494	2.0	0.9631666666666666	2.0	binary_crossentropy	(40, 40)	rmsprop										False	False	
20.0	6.0	('sigmoid', 'sigmoid', 'sigmoid')	['accuracy']	0.9		3604.0	('NOUN', 'VERB')	False	/mnt/store/hlt/Language/Hungarian/Crawl/Web2/ana/xaa.tagged	2000.0	latin2	2000.0	True	0.9375	FFNN	18000.0	10000.0	0.2218834383686384	False	3604.0	True	0 days 00:00:09.078300	0.22729006296396256	2.0	0.9383888888888888	2.0	binary_crossentropy	(40, 40)	rmsprop										False	False	
30.0	6.0	('sigmoid', 'sigmoid', 'sigmoid')	['accuracy']	0.9		3604.0	('NOUN', 'VERB')	False	/mnt/store/hlt/Language/Hungarian/Crawl/Web2/ana/xaa.tagged	50.0	latin2	2000.0	True	0.9515	FFNN	18000.0	10000.0	0.10438564793310233	False	3604.0	True	0 days 00:00:25.203751	0.1513526339866221	2.0	0.9636666666666668	2.0	binary_crossentropy	(40, 40)	rmsprop										False	False	
30.0	6.0	('sigmoid', 'sigmoid', 'sigmoid')	['accuracy']	0.9		3604.0	('NOUN', 'VERB')	False	/mnt/store/hlt/Language/Hungarian/Crawl/Web2/ana/xaa.tagged	100.0	latin2	2000.0	True	0.9575	FFNN	18000.0	10000.0	0.08372072102191548	False	3604.0	True	0 days 00:00:18.758166	0.12884796116128566	2.0	0.9720833333333332	2.0	binary_crossentropy	(40, 40)	rmsprop										False	False	
30.0	6.0	('sigmoid', 'sigmoid', 'sigmoid')	['accuracy']	0.9		3604.0	('NOUN', 'VERB')	False	/mnt/store/hlt/Language/Hungarian/Crawl/Web2/ana/xaa.tagged	200.0	latin2	2000.0	True	0.9570000000000001	FFNN	18000.0	10000.0	0.06895772690077623	False	3604.0	True	0 days 00:00:14.795049	0.13914942305721342	2.0	0.9779166666666668	2.0	binary_crossentropy	(40, 40)	rmsprop										False	False	
30.0	6.0	('sigmoid', 'sigmoid', 'sigmoid')	['accuracy']	0.9		3604.0	('NOUN', 'VERB')	False	/mnt/store/hlt/Language/Hungarian/Crawl/Web2/ana/xaa.tagged	500.0	latin2	2000.0	True	0.953	FFNN	18000.0	10000.0	0.06314311150523523	False	3604.0	True	0 days 00:00:11.895795	0.15888303890218958	2.0	0.9786944444444444	2.0	binary_crossentropy	(40, 40)	rmsprop										False	False	
30.0	6.0	('sigmoid', 'sigmoid', 'sigmoid')	['accuracy']	0.9		3604.0	('NOUN', 'VERB')	False	/mnt/store/hlt/Language/Hungarian/Crawl/Web2/ana/xaa.tagged	1000.0	latin2	2000.0	True	0.9535	FFNN	18000.0	10000.0	0.07398516020354713	False	3604.0	True	0 days 00:00:11.105663	0.13955183350667358	2.0	0.9745555555555556	2.0	binary_crossentropy	(40, 40)	rmsprop										False	False	
