	feat.N	feat.last_char	feat.sample_per_class	model.batch_size	model.layers	model.nb_epoch	result.test_acc
0	1.0	5.0	30000.0	500.0	(40, 40)	300.0	0.8836666666666667
1	1.0	6.0	30000.0	500.0	(40, 40)	300.0	0.88875
2	1.0	7.0	30000.0	500.0	(40, 40)	300.0	0.89125
3	1.0	8.0	30000.0	500.0	(40, 40)	300.0	0.87775
4	2.0	5.0	30000.0	500.0	(40, 40)	300.0	0.9456666666666668
5	2.0	6.0	30000.0	500.0	(40, 40)	300.0	0.94725
6	2.0	7.0	30000.0	500.0	(40, 40)	300.0	0.9475833333333332
7	2.0	8.0	30000.0	500.0	(40, 40)	300.0	0.9444166666666668
8	3.0	5.0	30000.0	500.0	(40, 40)	300.0	0.95975
9	3.0	6.0	30000.0	500.0	(40, 40)	300.0	0.9640000000000001
10	3.0	7.0	30000.0	500.0	(40, 40)	300.0	0.9636666666666668
11	3.0	8.0	30000.0	500.0	(40, 40)	300.0	0.9653333333333334
12	2.0	5.0	10000.0	500.0	(10, 10)	300.0	0.93575
13	2.0	5.0	10000.0	500.0	(10, 20)	300.0	0.9365
14	2.0	5.0	10000.0	500.0	(10, 30)	300.0	0.9285
15	2.0	5.0	10000.0	500.0	(10, 40)	300.0	0.9309999999999999
16	2.0	5.0	10000.0	500.0	(10, 50)	300.0	0.937
17	2.0	5.0	10000.0	500.0	(10, 60)	300.0	0.9279999999999999
18	2.0	5.0	10000.0	500.0	(10, 70)	300.0	0.9305
19	2.0	5.0	10000.0	500.0	(10, 80)	300.0	0.937
20	2.0	5.0	10000.0	500.0	(10, 90)	300.0	0.93775
21	2.0	5.0	10000.0	500.0	(10, 100)	300.0	0.9179999999999999
22	2.0	5.0	10000.0	500.0	(20, 10)	300.0	0.93625
23	2.0	5.0	10000.0	500.0	(20, 20)	300.0	0.92725
24	2.0	5.0	10000.0	500.0	(20, 30)	300.0	0.936
25	2.0	5.0	10000.0	500.0	(20, 40)	300.0	0.9279999999999999
26	2.0	5.0	10000.0	500.0	(20, 50)	300.0	0.93
27	2.0	5.0	10000.0	500.0	(20, 60)	300.0	0.937
28	2.0	5.0	10000.0	500.0	(20, 70)	300.0	0.9285
29	2.0	5.0	10000.0	500.0	(20, 80)	300.0	0.93075
30	2.0	5.0	10000.0	500.0	(20, 90)	300.0	0.93025
31	2.0	5.0	10000.0	500.0	(20, 100)	300.0	0.9165
32	2.0	5.0	10000.0	500.0	(30, 10)	300.0	0.9355
33	2.0	5.0	10000.0	500.0	(30, 20)	300.0	0.92125
34	2.0	5.0	10000.0	500.0	(30, 30)	300.0	0.94225
35	2.0	5.0	10000.0	500.0	(30, 40)	300.0	0.9295
36	2.0	5.0	10000.0	500.0	(30, 50)	300.0	0.9305
37	2.0	5.0	10000.0	500.0	(30, 60)	300.0	0.9329999999999999
38	2.0	5.0	10000.0	500.0	(30, 70)	300.0	0.929
39	2.0	5.0	10000.0	500.0	(30, 80)	300.0	0.9315
40	2.0	5.0	10000.0	500.0	(30, 90)	300.0	0.927
41	2.0	5.0	10000.0	500.0	(30, 100)	300.0	0.9285
42	2.0	5.0	10000.0	500.0	(40, 10)	300.0	0.9305
43	2.0	5.0	10000.0	500.0	(40, 20)	300.0	0.93175
44	2.0	5.0	10000.0	500.0	(40, 30)	300.0	0.93175
45	2.0	5.0	10000.0	500.0	(40, 40)	300.0	0.9390000000000001
46	2.0	5.0	10000.0	500.0	(40, 50)	300.0	0.935
47	2.0	5.0	10000.0	500.0	(40, 60)	300.0	0.9345
48	2.0	5.0	10000.0	500.0	(40, 70)	300.0	0.924
49	2.0	5.0	10000.0	500.0	(40, 80)	300.0	0.92175
50	2.0	5.0	10000.0	500.0	(40, 90)	300.0	0.9305
51	2.0	5.0	10000.0	500.0	(40, 100)	300.0	0.9365
52	2.0	5.0	10000.0	500.0	(50, 10)	300.0	0.9355
53	2.0	5.0	10000.0	500.0	(50, 20)	300.0	0.9329999999999999
54	2.0	5.0	10000.0	500.0	(50, 30)	300.0	0.9285
55	2.0	5.0	10000.0	500.0	(50, 40)	300.0	0.927
56	2.0	5.0	10000.0	500.0	(50, 50)	300.0	0.93
57	2.0	5.0	10000.0	500.0	(50, 60)	300.0	0.9359999999999999
58	2.0	5.0	10000.0	500.0	(50, 70)	300.0	0.92425
59	2.0	5.0	10000.0	500.0	(50, 80)	300.0	0.9325
60	2.0	5.0	10000.0	500.0	(50, 90)	300.0	0.9295
61	2.0	5.0	10000.0	500.0	(50, 100)	300.0	0.937
